xmin	ymin	xmax	ymax	breed
29	19	196	226	walker-hound
50	0	344	241	walker-hound
38	2	289	359	walker-hound
12	110	278	311	walker-hound
17	92	354	438	walker-hound
75	161	432	293	walker-hound
291	39	467	358	walker-hound
25	11	179	244	walker-hound
32	19	323	275	walker-hound
0	106	273	495	walker-hound
196	8	458	407	walker-hound
215	122	559	341	walker-hound
0	9	293	254	english-foxhound
4	72	71	143	english-foxhound
17	24	585	492	english-foxhound
0	0	106	110	english-foxhound
36	11	248	238	english-foxhound
11	6	132	198	english-foxhound
11	10	385	316	english-foxhound
158	280	255	374	english-foxhound
178	67	367	383	english-foxhound
12	8	137	164	english-foxhound
5	3	315	255	english-foxhound
21	0	577	501	english-foxhound
12	4	163	144	english-foxhound
3	6	199	137	english-foxhound
11	4	195	182	english-foxhound
12	28	216	214	english-foxhound
79	120	194	249	english-foxhound
16	6	149	146	english-foxhound
388	3	497	374	english-foxhound
12	19	147	189	english-foxhound
10	68	114	140	english-foxhound
6	13	119	148	english-foxhound
12	6	170	144	english-foxhound
24	0	211	199	english-foxhound
6	42	28	119	english-foxhound
148	103	255	262	english-foxhound
158	129	848	635	english-foxhound
7	0	397	351	english-foxhound
43	39	274	242	english-foxhound
61	21	359	216	english-foxhound
45	26	301	231	english-foxhound
3	19	583	442	english-foxhound
4	6	415	321	english-foxhound
12	6	163	145	english-foxhound
30	16	503	499	english-foxhound
185	279	230	322	english-foxhound
0	25	157	233	english-foxhound
140	155	332	315	english-foxhound
0	22	297	428	english-foxhound
9	22	183	170	english-foxhound
1	64	107	144	english-foxhound
98	1	254	246	english-foxhound
323	169	399	258	english-foxhound
44	13	183	198	english-foxhound
16	26	155	116	english-foxhound
0	8	147	145	english-foxhound
162	58	486	472	english-foxhound
6	16	218	246	english-foxhound
9	13	129	143	english-foxhound
142	16	400	377	english-foxhound
4	8	377	325	english-foxhound
8	14	439	364	english-foxhound
75	28	302	269	english-foxhound
21	18	176	199	english-foxhound
44	188	256	478	english-foxhound
53	65	150	291	english-foxhound
0	21	279	242	english-foxhound
95	23	233	239	english-foxhound
155	77	499	248	english-foxhound
6	78	333	478	english-foxhound
69	29	492	427	english-foxhound
7	9	220	144	english-foxhound
24	11	379	334	english-foxhound
0	25	229	321	english-foxhound
9	8	591	549	english-foxhound
57	28	354	321	english-foxhound
9	37	76	208	english-foxhound
15	16	94	136	english-foxhound
48	9	296	219	english-foxhound
106	87	238	182	english-foxhound
0	0	345	266	english-foxhound
307	142	480	327	english-foxhound
114	61	225	248	english-foxhound
0	92	372	383	english-foxhound
24	19	467	475	english-foxhound
47	41	249	223	english-foxhound
31	10	175	149	english-foxhound
75	11	587	490	english-foxhound
1	8	159	169	english-foxhound
108	45	323	318	english-foxhound
0	14	210	198	english-foxhound
13	0	192	199	english-foxhound
64	13	260	357	english-foxhound
1	9	330	381	english-foxhound
159	73	211	126	english-foxhound
0	205	94	374	english-foxhound
58	3	180	89	english-foxhound
0	276	68	337	english-foxhound
24	15	238	180	english-foxhound
21	12	224	216	english-foxhound
30	10	157	193	english-foxhound
9	5	101	149	english-foxhound
706	1181	2227	2389	english-foxhound
29	53	298	396	english-foxhound
4	2	178	186	english-foxhound
54	33	273	203	english-foxhound
12	3	103	143	english-foxhound
108	47	180	190	english-foxhound
17	3	269	422	english-foxhound
0	25	197	248	english-foxhound
38	11	179	144	english-foxhound
99	180	478	385	english-foxhound
28	49	163	157	english-foxhound
56	95	372	492	english-foxhound
28	3	261	272	english-foxhound
19	47	434	376	english-foxhound
1	16	152	374	english-foxhound
36	69	130	170	english-foxhound
125	64	312	349	english-foxhound
0	12	322	347	english-foxhound
5	35	256	324	english-foxhound
13	13	73	146	english-foxhound
56	26	334	250	english-foxhound
67	10	275	207	english-foxhound
160	6	426	370	english-foxhound
200	47	332	327	english-foxhound
20	18	233	360	english-foxhound
239	64	453	244	english-foxhound
13	20	219	203	english-foxhound
0	1	149	112	english-foxhound
7	34	168	135	english-foxhound
83	25	416	260	english-foxhound
1	6	203	169	english-foxhound
8	13	157	139	english-foxhound
100	0	281	275	english-foxhound
5	14	263	241	english-foxhound
2	19	189	151	english-foxhound
1	4	397	342	english-foxhound
89	60	285	217	english-foxhound
13	0	116	103	english-foxhound
5	11	299	247	english-foxhound
140	32	211	211	english-foxhound
0	28	261	276	english-foxhound
20	6	642	433	english-foxhound
0	1	131	183	english-foxhound
186	25	287	130	english-foxhound
44	21	401	329	english-foxhound
57	109	155	228	english-foxhound
21	36	391	313	english-foxhound
3	4	282	295	english-foxhound
10	0	224	224	english-foxhound
0	10	159	99	english-foxhound
3	21	244	335	english-foxhound
4	10	119	149	english-foxhound
72	18	163	141	english-foxhound
25	63	189	247	english-foxhound
53	12	303	419	english-foxhound
40	7	277	266	english-foxhound
68	0	166	211	english-foxhound
1	5	167	143	english-foxhound
28	5	185	162	english-foxhound
10	20	175	220	english-foxhound
34	11	456	401	english-foxhound
0	35	332	185	english-foxhound
43	21	308	265	english-foxhound
7	8	252	238	english-foxhound
107	63	399	262	english-foxhound
115	37	387	326	redbone
267	152	613	585	redbone
1	10	271	230	redbone
122	111	349	332	redbone
0	56	262	288	redbone
203	23	472	392	redbone
25	49	499	264	redbone
0	1	295	480	redbone
29	0	321	234	redbone
232	127	499	332	redbone
0	37	372	310	redbone
0	87	499	330	redbone
74	60	351	334	redbone
110	142	245	401	redbone
64	152	456	371	redbone
89	155	299	446	redbone
62	69	432	328	redbone
1	122	364	450	redbone
0	75	332	332	redbone
1	68	276	463	redbone
129	9	438	326	redbone
27	197	373	488	redbone
1	14	161	108	redbone
60	109	444	373	redbone
134	78	360	263	redbone
59	28	278	276	redbone
39	31	383	453	redbone
141	12	335	374	redbone
59	143	472	346	redbone
0	30	448	374	redbone
105	3	499	374	redbone
148	172	497	332	redbone
43	98	373	412	redbone
2	22	498	305	redbone
25	71	461	448	redbone
10	214	292	429	redbone
110	59	230	246	redbone
47	88	315	435	redbone
281	9	498	331	redbone
73	0	297	498	redbone
36	19	498	373	redbone
173	161	372	285	redbone
0	0	497	373	redbone
86	90	321	472	redbone
60	17	291	488	redbone
85	34	355	332	redbone
175	34	423	282	redbone
23	119	261	282	redbone
47	172	203	480	redbone
155	50	303	307	redbone
84	0	499	374	redbone
204	73	335	331	redbone
31	2	440	324	redbone
72	97	417	341	redbone
0	47	379	374	redbone
0	60	329	374	redbone
159	2	298	353	redbone
23	56	465	329	redbone
0	41	302	288	redbone
0	18	454	373	redbone
121	14	407	373	redbone
15	12	210	248	redbone
11	34	278	230	redbone
15	32	331	448	redbone
0	63	275	355	redbone
16	167	190	437	redbone
97	110	499	374	redbone
106	0	320	373	redbone
1	66	340	292	redbone
61	108	311	498	redbone
0	63	373	498	redbone
0	80	456	374	redbone
9	36	444	348	redbone
72	137	339	373	redbone
45	25	373	445	redbone
0	0	354	341	redbone
10	0	188	197	redbone
31	186	373	498	redbone
83	100	415	331	redbone
96	65	259	295	redbone
2	76	470	310	redbone
18	2	499	311	redbone
65	12	497	374	redbone
13	40	358	498	redbone
14	0	299	260	redbone
0	101	461	374	redbone
27	8	373	332	redbone
51	70	373	498	redbone
217	135	380	229	redbone
62	97	466	238	redbone
16	114	495	277	redbone
1	0	347	374	redbone
239	59	499	373	redbone
0	25	373	498	redbone
240	182	499	354	redbone
70	27	311	445	redbone
2	41	470	374	redbone
90	11	351	337	redbone
1	17	214	235	redbone
38	58	227	428	redbone
23	49	426	375	redbone
0	4	435	354	redbone
276	109	499	332	redbone
0	40	448	374	redbone
25	0	282	386	redbone
11	121	372	456	redbone
191	67	355	330	redbone
0	33	378	332	redbone
17	81	413	368	redbone
112	149	492	327	redbone
125	125	371	451	redbone
120	16	478	374	redbone
31	15	431	492	redbone
58	52	466	286	redbone
164	77	318	374	redbone
38	70	277	498	redbone
47	40	268	262	redbone
0	4	174	174	redbone
81	31	303	374	redbone
77	300	269	437	redbone
1	41	369	486	redbone
4	5	423	252	redbone
0	1	490	332	redbone
57	86	246	497	redbone
0	52	410	332	redbone
115	23	371	374	redbone
18	39	598	600	redbone
0	55	265	498	redbone
23	2	499	326	redbone
45	186	220	447	redbone
113	7	372	289	redbone
207	159	476	332	redbone
0	0	428	289	redbone
0	93	350	498	redbone
115	11	499	175	redbone
58	83	221	250	redbone
12	32	498	285	redbone
136	38	499	374	redbone
259	81	484	301	redbone
129	124	325	265	redbone
212	42	336	253	redbone
139	94	339	240	redbone
23	12	173	277	redbone
0	1	439	360	redbone
148	0	499	374	redbone
102	11	330	374	redbone
5	24	453	373	redbone
50	1	249	285	redbone
48	26	454	402	borzoi
168	62	499	365	borzoi
203	58	363	333	borzoi
12	13	292	253	borzoi
140	2	296	331	borzoi
96	73	437	408	borzoi
186	104	350	250	borzoi
83	23	429	302	borzoi
0	161	271	498	borzoi
42	26	449	310	borzoi
151	104	298	364	borzoi
51	307	262	498	borzoi
63	39	498	408	borzoi
6	0	499	380	borzoi
144	106	391	334	borzoi
58	274	448	486	borzoi
38	17	220	242	borzoi
20	57	349	498	borzoi
26	252	93	418	borzoi
2	34	445	333	borzoi
190	68	481	334	borzoi
50	45	345	320	borzoi
0	106	334	497	borzoi
18	13	283	243	borzoi
32	11	206	166	borzoi
90	61	352	285	borzoi
15	37	354	196	borzoi
0	40	220	170	borzoi
227	111	431	287	borzoi
119	66	397	334	borzoi
68	77	498	476	borzoi
115	45	260	262	borzoi
156	88	354	257	borzoi
45	51	272	475	borzoi
137	115	341	296	borzoi
263	25	428	298	borzoi
130	94	399	285	borzoi
19	16	267	234	borzoi
66	97	219	217	borzoi
124	113	319	278	borzoi
39	7	453	337	borzoi
119	121	436	301	borzoi
111	14	447	306	borzoi
24	114	360	357	borzoi
18	70	302	478	borzoi
131	94	388	298	borzoi
127	26	309	322	borzoi
37	95	294	410	borzoi
71	67	431	498	borzoi
127	37	406	325	borzoi
18	55	498	483	borzoi
49	37	465	279	borzoi
29	30	301	252	borzoi
33	33	286	278	borzoi
131	129	424	384	borzoi
0	211	199	288	borzoi
279	192	416	321	borzoi
37	78	421	223	borzoi
142	0	492	319	borzoi
123	38	499	399	borzoi
1	12	373	498	borzoi
59	133	422	292	borzoi
46	11	447	371	borzoi
37	177	182	415	borzoi
185	8	336	346	borzoi
146	208	330	351	borzoi
85	25	437	413	borzoi
2	54	262	441	borzoi
71	39	390	317	borzoi
279	63	454	372	borzoi
205	137	324	422	borzoi
19	49	458	287	borzoi
120	173	328	336	borzoi
1	166	283	374	borzoi
73	43	435	398	borzoi
29	42	445	266	borzoi
77	51	275	290	borzoi
15	68	473	331	borzoi
0	25	499	375	borzoi
47	17	402	335	borzoi
116	26	369	331	borzoi
0	40	195	239	borzoi
49	68	384	340	borzoi
61	53	187	302	borzoi
15	5	349	473	borzoi
0	14	343	278	borzoi
78	52	386	283	borzoi
45	45	474	268	borzoi
58	36	467	418	borzoi
147	57	331	346	borzoi
46	1	392	498	borzoi
134	103	355	472	borzoi
274	148	361	344	borzoi
61	76	270	443	borzoi
190	67	321	339	borzoi
135	94	333	319	borzoi
120	61	393	389	borzoi
158	32	357	326	borzoi
9	29	223	366	borzoi
231	83	352	257	borzoi
3	80	419	373	borzoi
28	14	473	281	borzoi
25	11	331	150	borzoi
94	65	433	345	borzoi
11	119	76	206	borzoi
23	90	112	247	borzoi
29	58	438	371	borzoi
0	84	304	412	borzoi
226	179	256	273	borzoi
10	84	447	334	borzoi
42	44	439	362	borzoi
70	3	289	498	borzoi
73	59	353	233	borzoi
2	274	331	498	borzoi
0	115	394	493	borzoi
98	77	339	498	borzoi
87	109	241	259	borzoi
39	74	477	311	borzoi
111	268	355	495	borzoi
155	140	366	340	borzoi
88	93	499	332	borzoi
94	69	440	355	borzoi
131	107	499	374	borzoi
0	33	499	374	borzoi
96	26	595	388	borzoi
4	16	322	235	borzoi
160	109	409	361	borzoi
19	76	228	243	borzoi
63	57	475	295	borzoi
67	27	337	401	borzoi
125	50	331	462	borzoi
35	17	383	353	borzoi
42	118	462	229	borzoi
87	59	350	324	borzoi
16	121	261	241	borzoi
72	109	441	277	borzoi
17	9	302	278	borzoi
30	88	499	263	borzoi
226	198	1036	950	borzoi
202	48	401	357	borzoi
0	20	373	380	borzoi
40	31	420	397	borzoi
2	22	372	376	borzoi
249	150	434	244	borzoi
8	43	339	331	borzoi
85	62	455	339	borzoi
69	125	457	227	borzoi
117	28	256	445	borzoi
90	106	327	336	borzoi
93	43	358	321	borzoi
65	73	186	236	borzoi
51	100	464	274	irish-wolfhound
195	124	386	332	irish-wolfhound
150	8	389	374	irish-wolfhound
2	40	331	322	irish-wolfhound
171	16	372	261	irish-wolfhound
46	65	351	498	irish-wolfhound
256	169	832	669	irish-wolfhound
1	97	492	273	irish-wolfhound
208	44	226	62	irish-wolfhound
2	43	325	374	irish-wolfhound
92	28	392	374	irish-wolfhound
55	53	499	332	irish-wolfhound
49	99	244	332	irish-wolfhound
1	117	275	348	irish-wolfhound
156	124	284	373	irish-wolfhound
185	130	388	298	irish-wolfhound
96	48	487	250	irish-wolfhound
101	184	358	374	irish-wolfhound
151	106	275	265	irish-wolfhound
1	301	373	496	irish-wolfhound
62	13	331	497	irish-wolfhound
53	115	499	374	irish-wolfhound
179	50	499	332	irish-wolfhound
142	299	219	477	irish-wolfhound
34	16	183	194	irish-wolfhound
20	88	331	498	irish-wolfhound
55	68	316	468	irish-wolfhound
10	5	207	216	irish-wolfhound
5	247	331	497	irish-wolfhound
86	40	270	498	irish-wolfhound
8	7	283	239	irish-wolfhound
35	195	178	356	irish-wolfhound
214	73	273	167	irish-wolfhound
55	21	342	496	irish-wolfhound
18	82	316	373	irish-wolfhound
200	176	319	252	irish-wolfhound
0	43	78	171	irish-wolfhound
2	87	315	332	irish-wolfhound
36	12	323	259	irish-wolfhound
109	230	664	478	irish-wolfhound
54	25	214	199	irish-wolfhound
137	166	281	445	irish-wolfhound
148	48	413	281	irish-wolfhound
68	48	422	374	irish-wolfhound
0	35	331	498	irish-wolfhound
175	193	315	457	irish-wolfhound
111	145	566	530	irish-wolfhound
204	23	485	306	irish-wolfhound
0	227	325	498	irish-wolfhound
41	9	327	287	irish-wolfhound
0	74	467	335	irish-wolfhound
274	105	471	332	irish-wolfhound
101	114	403	373	irish-wolfhound
51	47	330	453	irish-wolfhound
4	154	307	332	irish-wolfhound
256	157	393	247	irish-wolfhound
95	44	464	280	irish-wolfhound
0	66	499	346	irish-wolfhound
88	112	235	456	irish-wolfhound
46	131	457	399	irish-wolfhound
107	47	339	331	irish-wolfhound
355	95	499	298	irish-wolfhound
30	153	477	395	irish-wolfhound
35	21	647	521	irish-wolfhound
108	56	473	257	irish-wolfhound
33	12	320	463	irish-wolfhound
264	82	420	310	irish-wolfhound
5	37	325	473	irish-wolfhound
137	190	344	359	irish-wolfhound
81	65	473	250	irish-wolfhound
88	25	499	363	irish-wolfhound
169	39	266	280	irish-wolfhound
52	211	267	332	irish-wolfhound
86	205	158	386	irish-wolfhound
164	88	287	388	irish-wolfhound
81	69	218	190	irish-wolfhound
0	23	479	399	irish-wolfhound
72	53	271	342	irish-wolfhound
107	111	473	272	irish-wolfhound
33	157	323	490	irish-wolfhound
227	124	461	257	irish-wolfhound
11	18	212	159	irish-wolfhound
137	55	373	442	irish-wolfhound
15	48	264	269	irish-wolfhound
92	84	368	374	irish-wolfhound
1	55	338	330	irish-wolfhound
44	52	492	319	irish-wolfhound
54	19	473	415	irish-wolfhound
154	53	425	332	irish-wolfhound
118	38	300	332	irish-wolfhound
68	90	285	436	irish-wolfhound
55	201	186	457	irish-wolfhound
71	101	343	443	irish-wolfhound
0	36	297	498	irish-wolfhound
54	78	463	311	irish-wolfhound
6	0	206	205	irish-wolfhound
39	16	499	332	irish-wolfhound
0	28	410	393	irish-wolfhound
10	42	499	366	irish-wolfhound
103	18	377	373	irish-wolfhound
204	81	295	274	irish-wolfhound
67	75	242	283	irish-wolfhound
266	170	351	259	irish-wolfhound
116	127	311	374	irish-wolfhound
252	23	423	167	irish-wolfhound
0	1	499	374	irish-wolfhound
80	386	131	455	irish-wolfhound
8	25	454	316	irish-wolfhound
16	12	292	367	irish-wolfhound
176	46	263	176	irish-wolfhound
84	74	363	234	irish-wolfhound
302	23	458	288	irish-wolfhound
281	145	453	361	irish-wolfhound
129	1	495	374	irish-wolfhound
95	102	382	352	irish-wolfhound
0	108	373	497	irish-wolfhound
260	107	494	295	irish-wolfhound
0	13	393	498	irish-wolfhound
54	39	455	374	irish-wolfhound
36	98	390	374	irish-wolfhound
0	232	222	483	irish-wolfhound
199	224	305	428	irish-wolfhound
117	72	331	498	irish-wolfhound
158	113	387	295	irish-wolfhound
151	171	249	470	irish-wolfhound
11	169	497	303	irish-wolfhound
170	59	499	374	irish-wolfhound
12	20	486	394	irish-wolfhound
245	211	378	438	irish-wolfhound
4	0	376	374	irish-wolfhound
202	184	283	295	irish-wolfhound
101	10	315	482	irish-wolfhound
57	58	378	237	irish-wolfhound
115	175	329	374	irish-wolfhound
0	55	475	307	irish-wolfhound
139	98	273	254	irish-wolfhound
64	115	275	213	irish-wolfhound
220	26	498	314	irish-wolfhound
116	22	358	374	irish-wolfhound
40	52	430	295	irish-wolfhound
1	144	32	209	irish-wolfhound
180	163	269	292	irish-wolfhound
56	236	328	571	irish-wolfhound
56	127	402	292	irish-wolfhound
178	99	255	257	irish-wolfhound
28	55	499	332	irish-wolfhound
1	18	362	374	irish-wolfhound
111	69	353	332	irish-wolfhound
0	18	313	332	irish-wolfhound
0	230	152	438	irish-wolfhound
0	57	468	385	irish-wolfhound
116	33	370	325	irish-wolfhound
133	115	301	266	irish-wolfhound
250	236	375	332	irish-wolfhound
70	64	382	330	irish-wolfhound
95	93	267	374	irish-wolfhound
116	94	499	368	irish-wolfhound
34	71	462	255	irish-wolfhound
46	91	155	426	irish-wolfhound
137	71	194	163	irish-wolfhound
135	170	262	431	irish-wolfhound
145	125	473	445	irish-wolfhound
0	247	183	374	irish-wolfhound
0	18	474	407	irish-wolfhound
153	107	457	332	irish-wolfhound
156	116	285	331	irish-wolfhound
178	64	495	356	irish-wolfhound
160	46	379	332	irish-wolfhound
84	143	494	265	irish-wolfhound
162	171	410	284	irish-wolfhound
115	121	457	431	irish-wolfhound
33	35	161	323	irish-wolfhound
0	0	360	433	irish-wolfhound
221	101	410	282	irish-wolfhound
25	13	195	249	irish-wolfhound
13	84	498	331	irish-wolfhound
5	73	292	418	irish-wolfhound
97	84	330	326	irish-wolfhound
42	28	434	356	irish-wolfhound
55	71	454	372	irish-wolfhound
71	68	352	229	irish-wolfhound
22	1	335	418	irish-wolfhound
66	104	318	262	irish-wolfhound
121	33	339	332	irish-wolfhound
95	94	498	369	irish-wolfhound
17	182	231	488	irish-wolfhound
258	77	427	275	irish-wolfhound
58	152	258	498	irish-wolfhound
0	72	295	279	irish-wolfhound
74	9	367	374	irish-wolfhound
97	77	445	276	irish-wolfhound
1	22	451	332	irish-wolfhound
40	57	218	340	irish-wolfhound
75	31	498	373	irish-wolfhound
112	49	280	304	irish-wolfhound
231	18	435	124	irish-wolfhound
186	208	286	373	irish-wolfhound
0	72	224	372	irish-wolfhound
75	56	235	466	irish-wolfhound
85	67	256	332	irish-wolfhound
142	65	261	241	irish-wolfhound
3	216	330	478	irish-wolfhound
244	138	304	254	irish-wolfhound
106	122	300	458	irish-wolfhound
36	141	365	332	irish-wolfhound
54	103	198	423	irish-wolfhound
9	48	324	333	irish-wolfhound
0	16	344	329	irish-wolfhound
224	45	450	363	irish-wolfhound
76	205	239	448	irish-wolfhound
11	106	381	390	irish-wolfhound
183	116	288	177	irish-wolfhound
30	175	232	379	irish-wolfhound
38	190	246	346	irish-wolfhound
50	67	244	498	irish-wolfhound
11	11	288	200	irish-wolfhound
224	27	322	246	irish-wolfhound
92	29	446	332	irish-wolfhound
212	91	386	147	italian-greyhound
139	200	236	305	italian-greyhound
103	200	367	430	italian-greyhound
131	292	205	470	italian-greyhound
87	17	448	374	italian-greyhound
168	52	355	374	italian-greyhound
62	70	285	462	italian-greyhound
142	7	482	372	italian-greyhound
58	52	316	328	italian-greyhound
73	22	323	498	italian-greyhound
116	28	409	336	italian-greyhound
111	191	323	481	italian-greyhound
67	26	460	366	italian-greyhound
128	69	276	331	italian-greyhound
41	52	296	489	italian-greyhound
243	59	406	392	italian-greyhound
69	69	429	364	italian-greyhound
299	95	380	251	italian-greyhound
11	14	232	333	italian-greyhound
72	75	490	367	italian-greyhound
38	14	239	289	italian-greyhound
166	88	395	373	italian-greyhound
177	80	365	250	italian-greyhound
181	45	430	408	italian-greyhound
40	4	352	432	italian-greyhound
104	135	292	345	italian-greyhound
22	47	274	299	italian-greyhound
20	43	305	495	italian-greyhound
76	72	341	344	italian-greyhound
115	30	240	179	italian-greyhound
14	55	396	320	italian-greyhound
117	257	444	423	italian-greyhound
18	17	331	451	italian-greyhound
13	20	454	345	italian-greyhound
11	26	312	478	italian-greyhound
81	111	278	486	italian-greyhound
147	43	392	374	italian-greyhound
198	58	469	365	italian-greyhound
4	19	395	332	italian-greyhound
0	85	358	498	italian-greyhound
74	105	377	304	italian-greyhound
213	83	450	341	italian-greyhound
0	55	495	409	italian-greyhound
0	0	493	484	italian-greyhound
116	47	332	466	italian-greyhound
0	29	267	177	italian-greyhound
125	128	474	374	italian-greyhound
128	51	379	331	italian-greyhound
193	61	292	261	italian-greyhound
65	100	343	371	italian-greyhound
65	39	490	333	italian-greyhound
0	75	432	332	italian-greyhound
58	7	380	373	italian-greyhound
95	115	294	334	italian-greyhound
94	67	363	286	italian-greyhound
247	101	478	276	italian-greyhound
40	50	279	498	italian-greyhound
39	70	386	679	italian-greyhound
71	204	191	336	italian-greyhound
1	19	147	257	italian-greyhound
196	65	329	332	italian-greyhound
10	73	346	226	italian-greyhound
100	73	253	388	italian-greyhound
37	37	402	332	italian-greyhound
140	154	345	350	italian-greyhound
27	72	480	314	italian-greyhound
152	64	499	331	italian-greyhound
183	60	384	332	italian-greyhound
53	23	239	168	italian-greyhound
287	147	488	292	italian-greyhound
17	77	463	295	italian-greyhound
252	44	397	335	italian-greyhound
89	70	442	339	italian-greyhound
0	46	395	314	italian-greyhound
122	198	318	498	italian-greyhound
153	0	499	319	italian-greyhound
15	135	456	321	italian-greyhound
98	107	307	335	italian-greyhound
364	25	478	145	italian-greyhound
0	128	210	374	italian-greyhound
25	70	207	275	italian-greyhound
370	175	486	321	italian-greyhound
133	51	499	374	italian-greyhound
78	42	340	388	italian-greyhound
196	163	373	498	italian-greyhound
112	28	428	458	italian-greyhound
119	9	352	374	italian-greyhound
68	308	159	496	italian-greyhound
165	106	472	324	italian-greyhound
247	77	368	166	italian-greyhound
114	42	415	265	italian-greyhound
20	21	331	498	italian-greyhound
270	41	388	447	italian-greyhound
71	140	281	371	italian-greyhound
226	44	499	332	italian-greyhound
36	38	290	468	italian-greyhound
161	57	349	297	italian-greyhound
34	33	300	312	italian-greyhound
16	0	203	336	italian-greyhound
31	58	309	467	italian-greyhound
28	74	472	317	italian-greyhound
140	241	291	473	italian-greyhound
157	106	480	315	italian-greyhound
139	40	496	241	italian-greyhound
0	91	247	259	italian-greyhound
42	21	250	294	italian-greyhound
0	141	302	498	italian-greyhound
373	393	873	843	italian-greyhound
16	70	255	498	italian-greyhound
70	143	338	398	italian-greyhound
138	23	327	266	italian-greyhound
27	40	316	391	italian-greyhound
43	47	470	373	italian-greyhound
184	153	348	373	italian-greyhound
132	42	404	374	italian-greyhound
2	31	433	374	italian-greyhound
151	129	400	292	italian-greyhound
26	66	286	497	italian-greyhound
80	90	302	497	italian-greyhound
48	226	146	445	italian-greyhound
59	106	284	329	italian-greyhound
21	12	478	428	italian-greyhound
0	82	337	332	italian-greyhound
26	81	216	441	italian-greyhound
159	4	397	327	italian-greyhound
102	75	499	358	italian-greyhound
76	45	430	333	italian-greyhound
60	111	231	360	italian-greyhound
0	31	498	364	italian-greyhound
204	195	309	324	italian-greyhound
47	97	288	315	italian-greyhound
43	35	314	483	italian-greyhound
63	15	490	371	italian-greyhound
38	15	216	291	italian-greyhound
213	15	496	244	italian-greyhound
142	161	269	325	italian-greyhound
0	235	298	498	italian-greyhound
178	1	378	428	italian-greyhound
108	137	373	498	italian-greyhound
207	107	499	334	italian-greyhound
15	6	405	490	italian-greyhound
131	77	353	317	italian-greyhound
47	103	229	422	italian-greyhound
191	71	302	289	italian-greyhound
29	74	222	283	italian-greyhound
21	18	297	323	italian-greyhound
85	65	227	332	italian-greyhound
42	34	406	419	italian-greyhound
0	129	450	374	italian-greyhound
36	53	450	308	italian-greyhound
242	68	393	332	italian-greyhound
122	75	286	294	italian-greyhound
63	71	291	463	italian-greyhound
0	61	375	374	italian-greyhound
151	45	492	305	italian-greyhound
98	126	268	413	italian-greyhound
74	82	448	301	italian-greyhound
66	70	347	460	italian-greyhound
0	2	347	498	italian-greyhound
0	25	359	374	italian-greyhound
67	17	293	281	italian-greyhound
151	58	368	300	italian-greyhound
26	77	283	443	italian-greyhound
202	60	499	374	italian-greyhound
31	17	132	239	italian-greyhound
7	72	352	496	italian-greyhound
54	22	367	374	italian-greyhound
213	93	442	319	italian-greyhound
182	86	359	362	italian-greyhound
105	49	395	281	italian-greyhound
51	29	392	287	italian-greyhound
90	297	292	462	italian-greyhound
150	61	341	374	italian-greyhound
0	17	347	475	italian-greyhound
15	0	235	483	italian-greyhound
139	62	410	374	italian-greyhound
53	39	184	352	italian-greyhound
67	57	333	496	italian-greyhound
134	50	389	313	italian-greyhound
40	36	362	438	italian-greyhound
0	118	302	498	italian-greyhound
78	81	393	273	italian-greyhound
15	46	679	771	whippet
224	109	421	287	whippet
81	68	443	254	whippet
188	185	457	339	whippet
8	3	203	178	whippet
50	19	219	272	whippet
166	42	351	344	whippet
52	42	435	355	whippet
314	148	384	241	whippet
21	126	136	277	whippet
47	60	420	296	whippet
169	105	400	276	whippet
68	213	356	443	whippet
59	63	383	226	whippet
19	20	389	371	whippet
32	4	468	310	whippet
227	5	332	262	whippet
0	18	268	265	whippet
44	0	499	347	whippet
210	196	360	350	whippet
85	84	395	374	whippet
85	34	496	250	whippet
82	28	251	498	whippet
188	83	349	251	whippet
45	108	169	188	whippet
112	20	369	452	whippet
25	37	322	383	whippet
202	111	388	321	whippet
17	61	387	235	whippet
36	77	344	331	whippet
58	67	296	473	whippet
0	0	359	269	whippet
132	186	327	467	whippet
6	115	280	299	whippet
164	66	446	352	whippet
0	10	323	498	whippet
138	151	367	334	whippet
125	74	499	374	whippet
55	44	446	275	whippet
116	73	452	315	whippet
43	17	261	260	whippet
67	26	454	384	whippet
0	60	408	406	whippet
121	96	421	244	whippet
339	69	480	272	whippet
188	50	499	380	whippet
85	106	252	290	whippet
22	86	241	498	whippet
270	205	488	315	whippet
46	44	425	356	whippet
39	0	346	292	whippet
143	0	307	331	whippet
138	78	431	240	whippet
180	88	275	254	whippet
349	4	497	222	whippet
85	52	319	199	whippet
115	70	372	432	whippet
145	61	339	270	whippet
242	82	479	299	whippet
33	18	472	294	whippet
150	43	457	369	whippet
81	253	268	470	whippet
244	211	368	418	whippet
40	147	402	334	whippet
272	142	403	253	whippet
114	47	430	303	whippet
115	23	387	383	whippet
157	126	420	397	whippet
4	90	480	326	whippet
0	3	257	350	whippet
56	57	261	392	whippet
72	37	298	332	whippet
94	82	397	342	whippet
162	34	487	363	whippet
102	153	218	326	whippet
99	76	309	256	whippet
300	122	366	245	whippet
113	26	431	386	whippet
110	60	341	345	whippet
6	17	210	279	whippet
2	15	499	369	whippet
90	177	350	307	whippet
0	80	341	332	whippet
157	26	497	369	whippet
118	110	499	371	whippet
172	119	351	227	whippet
202	50	499	236	whippet
29	22	496	265	whippet
50	51	314	294	whippet
162	253	240	473	whippet
4	73	367	291	whippet
